statement_idx,report,page_num,sent_num,statement,confidence,score,split,prediction,correct
4264,AR6_WGII,670,1,"Polycentric governance systems require cross- scale information sharing, coordination and democratic participation to work appropriately (Pahl-Wostl and Knieper, 2014; Carlisle and Gruby, 2017; Morrison et al., 2017; Biesbroek and Lesnikowski, 2018; Frey et al., 2021)",high,2,test,medium,False
4345,AR6_WGII,746,7,"Elevated CO2 reduces some important nutrients such as protein, iron, zinc and some grains, fruit or vegetables to varying degrees depending on crop species and cultivars (Mattos et al., 2014; Myers et al., 2014; Dong et al., 2018; Scheelbeek et al., 2018; Zhu et al., 2018a; Jin et al., 2019; Ujiie et al., 2019). TThis is of particular relevance for fruit and vegetable crops given their importance in human nutrition",high,2,test,high,True
4420,AR6_WGII,784,17,Observed climate impacts on inland aquaculture systems have generally been site and region specific,high,2,test,medium,False
4439,AR6_WGII,790,13,Mangrove reforestation efforts in Asia may have some effectiveness in re-creating important nursery grounds for aquatic species,low,0,test,medium,False
4446,AR6_WGII,791,12,Selective breeding of species in aquaculture systems can promote climate resilience,medium,1,test,medium,True
4456,AR6_WGII,793,12,Early-warning systems for HABs enable rapid decision making and risk mitigation,medium,1,test,high,False
4541,AR6_WGII,839,2,"Limited global land and biomass resources accompanied by growing demands for food, feed, fibre and fuels, together with prospects for a paradigm shift towards phasing out fossil fuels, set the frame for potentially fierce competition for land and biomass to meet burgeoning demands even as climate change increasingly limits natural resource potentials",high,2,test,high,True
4580,AR6_WGII,936,8,Sea level increase and increases in tropical cyclone storm surge and rainfall intensity will increase the probability of coastal city flooding,high,2,test,very high,False
4611,AR6_WGII,982,17,The integration of climate adaptation in local policies in cities and settlements has often been seen as maintaining business-as-usual and not always aligned with transformative efforts to address structural drivers of vulnerability,high,2,test,high,True
4636,AR6_WGII,1055,23,"Key transformations are needed to facilitate climate resilient development pathways (CRDPs) for health, well- being, migration and conflict avoidance",high,2,test,high,True
4696,AR6_WGII,1057,29,"Building climate-resilient health systems will require multi-sectoral, multi-system and collaborative efforts at all governance scales",very high,3,test,high,False
4764,AR6_WGII,1089,9,Anxiety about the potential risks of climate change and awareness of climate change itself can affect mental health even in the absence of direct impacts,low,0,test,medium,False
4824,AR6_WGII,1110,13,"The most common drivers of observed climate- related migration and displacement are extreme storms (particularly tropical cyclones), floods and droughts",high,2,test,high,True
4882,AR6_WGII,1186,7,"Enabling and supportive environments for adaptation share common governance characteristics, including multiple actors and assets, multiple centres of power at different levels and an effective vertical and horizontal integration between levels",high,2,test,high,True
4948,AR6_WGII,1305,10,"Hot days, hot nights and heatwaves have become more frequent; heatwaves have also become longer. Drying is projected particularly for west and southwestern Africa",high,2,test,high,True
4956,AR6_WGII,1331,20,"Most African countries are expected to experience high temperatures unprecedented in their recent history earlier in this century than generally wealthier, higher latitude countries",high,2,test,high,True
4965,AR6_WGII,1339,19,"Mean annual rainfall in the summer rainfall region of South Afria is projected to decrease by 10–20%, accompanied by an increase in the number of consecutive dry days during the rainy season under RCP8.5. The western parts of the region are projected to become drier, with increasing drought frequency, intensity and duration likely under RCP8.5",high,2,test,medium,False
4970,AR6_WGII,1344,27,"Mangroves, seagrasses and coral reefs support nursery habitats for fish, sequester carbon, trap sediment and provide shoreline protection (Ghermandi et al., 2019). Climate change is compromising these ecosystem services",medium,1,test,high,False
5038,AR6_WGII,1471,15,"Adaptation actions tend to be in the initial stages and more reactive (57% of urban adaptations focus on preparatory interventions, such as capacity building, and 43% of cities report implemented adaptation interventions)",medium,1,test,medium,True
5048,AR6_WGII,1475,1,Large increases in temperature extremes are observed in West and Central Asia,high,2,test,high,True
5092,AR6_WGII,1499,6,Increase in extreme precipitation events is likely to cause more flash-flood events in the future,medium,1,test,high,False
5093,AR6_WGII,1511,18,"By 2050, it is likely that 69% of fundamental human infrastructure in the Pan Arctic will be at risk (RCP 4.5 scenario)",medium,1,test,medium,True
5099,AR6_WGII,1518,8,Rising ambient temperature accelerates pollutant formation reactions and may modify air-pollution-related health effects,medium,1,test,high,False
5120,AR6_WGII,1595,2,Three marine heatwaves on the Great Barrier Reef (GBR) during 2016–2020 caused significant bleaching and loss,very high,3,test,very high,True
5137,AR6_WGII,1598,6,"Some synergies and trade-offs exist between different adaptation responses and between mitigation and adaptation, with interactions occurring both within and outside the region",very high,3,test,high,False
5166,AR6_WGII,1613,9,"The depth of the Aragonite Saturation Horizon has shallowed by 50–100 m over much of New Zealand, which may limit and/or increase the energetic costs of growth of calcifying species",low,0,test,medium,False
5171,AR6_WGII,1614,1,"Acidification may alter sex determination (e.g., in the oyster Saccostrea glomerate), resulting in changes in sex ratios (Parker et al., 2018), and may thus affect reproductive success",low,0,test,medium,False
5202,AR6_WGII,1625,36,"While there is potential for a greater proportion of agriculture to be located to northern Australia, there are significant and complex agronomic, environmental, institutional, financial and social challenges for successful transformation, including the risk of disruption",medium,1,test,medium,True
5243,AR6_WGII,1640,17,"There is a central role for Indigenous Peoples in climate change decision-making that helps address the enduring legacy of colonisation through building opportunities based on Indigenous governance regimes, cultural practices to care for land and water and intergenerational perspectives",very high,3,test,high,False
5246,AR6_WGII,1641,10,"Climate-related impacts on Aboriginal and Torres Strait Islander Peoples, country and cultures: loss of biocultural diversity (land, water and sky)",medium,1,test,high,False
5285,AR6_WGII,1656,2,"More inclusive, collaborative and learning-oriented community engagement processes are fundamental to effective adaptation outcomes (11.7.3.2)",very high,3,test,high,False
5324,AR6_WGII,1705,1,"Adaptation policies often address climate impact drivers, but seldom include the social and economic underpinnings of vulnerability. This narrow scope limits adaptation results and compromises their continuity in the region",high,2,test,medium,False
5335,AR6_WGII,1708,27,"The combination of continued anthropogenic disturbance, particularly deforestation, with global warming may result in dieback of forest in Central and South America",medium,1,test,medium,True
5349,AR6_WGII,1710,30,The extent and quality of suitable areas for basic grains are expected to contract,high,2,test,medium,False
5351,AR6_WGII,1711,15,"Significant increases in the intensity and frequency of hot extremes and significant decreases in the intensity and frequency of cold extremes (Dereczynski et al., 2020; Dunn et al., 2020) were likely observed. Insufficient data coverage and trends in available data are generally not significant for heavy precipitation",low,0,test,medium,False
5354,AR6_WGII,1712,14,The Andean piedmont (500–1200 metres above sea level [MASL]) ecosystems and crops and elevation ranges above the treeline are more exposed to thermal anomalies,very high,3,test,high,False
5390,AR6_WGII,1718,29,"Due to the tight relationship between drought and fire occurrence, an increase of 39% to 95% of burned area is modelled to impact the Cerrado region under RCP4.5 and RCP8.5, while under RCP2.6, a 22% overshoot in temperature is estimated to impact the area in 2050 decreasing to 11% overshoot by 2100 (Silva et al., 2019d), leading to a high impact on agricultural production",high,2,test,medium,False
5436,AR6_WGII,1726,4,"Large-scale agricultural growth has increased vulnerability to climate change by disfavouring traditional agriculture, the homogenisation of the biophysical landscape and the replacement of traditional crops and native forests with exotic species like pines and eucalyptus (high confidence) (Torres et al., 2015), where farmers’ perceptions of climate change are highly dependent on educational level and access to meteorological information",low,0,test,high,False
5444,AR6_WGII,1726,15,"Species are projected to suffer changes in their distribution, including a decrease in climatic refugia for vertebrates",low,0,test,high,False
5498,AR6_WGII,1744,4,"In Central and South America, about 26% (130 million people) of the population have no access to safe drinking water, and strong disparities prevail regarding its spatial distribution; for example, in Chile, 99% of the population have access, compared to 50% in Peru, 73% in Colombia, 52% in Nicaragua or 56% in Guatemala",high,2,test,high,True
5620,AR6_WGII,1830,14,Observed adaptation actions are largely incremental with only a few examples of local transformative action; adaptation actions have demonstrated different degrees of effectiveness in reducing impacts and feasibility of implementation,high,2,test,medium,False
5670,AR6_WGII,1837,8,Projections for the 21st century show increases in storms across all of Europe,medium,1,test,medium,True
5704,AR6_WGII,1849,4,"Projected increase in rainfall could increase soil erosion, while warming enhances vegetation cover, leading to overall mixed responses",medium,1,test,medium,True
5737,AR6_WGII,1852,20,"Elevated CO2 levels predicted at 4°C GWL will affect the C/N ratio of organic-matter export and, hence, the efficiency of the biological pump",low,0,test,medium,False
5798,AR6_WGII,1873,15,"There has been a temperature-dependent range expansion of ticks that is projected to expand further north in Sweden, Norway and the Russian Arctic (Jaenson et al., 2012; Jore et al., 2014; Tokarevich et al., 2017; Waits et al., 2018), and to higher elevations in Austria and the Czech Republic",medium,1,test,medium,True
5825,AR6_WGII,1879,22,Lack of control over land use is the biggest and most urgent threat to the adaptive capacity of reindeer herding and the right of Sámi to their culture,high,2,test,medium,False
5922,AR6_WGII,1944,10,"Current practices will be increasingly insufficient without coordination and integration of efforts through equitable policy focused on modifying land-use impacts, consumption patterns, economic activities and emphasising NbS",high,2,test,high,True
5957,AR6_WGII,1958,40,Climate change has induced phenological and spatial shifts in primary productivity with cascading impacts on food webs,high,2,test,high,True
5982,AR6_WGII,1964,18,"Projected long-term reduction in water availability in the southwest US and northern Mexico (e.g., from the Colorado and Rio Grande rivers) will have substantial ecological and economic impacts given the region’s heavy water demands",high,2,test,high,True
5984,AR6_WGII,1964,25,"Projected changes in temperature and precipitation present direct risks to North American water quality, varying with regional and watershed contexts (Chapra et al., 2017; Coffey et al., 2019; Paul et al., 2019a), and related to streamflow, population growth (Duran-Encalada et al., 2017) and land-use practices",medium,1,test,high,False
5989,AR6_WGII,1967,20,"Warming will alter the length of growing seasons of cold- season crops (e.g., broccoli, lettuce) and will shift suitability ranges of warm-season California crops (e.g., tomatoes)",medium,1,test,high,False
6030,AR6_WGII,1981,28,"Climate-related food-borne disease risks vary temporally, and are influenced, in part, by food availability, accessibility, preparation and preferences",medium,1,test,medium,True
6049,AR6_WGII,1989,12,Climate change has been observed to affect national GDP level and economic growth,low,0,test,medium,False
6056,AR6_WGII,1990,17,Pre-existing social vulnerabilities have also led to forced displacement from extreme weather events,low,0,test,high,False
6064,AR6_WGII,1993,21,"While there is expert scientific consensus on anthropogenic climate change, rhetoric, misinformation and politicisation of science have contributed to misperceptions, polarisation on the severity of impacts and risks to society, indecision and delayed action",high,2,test,very high,False
6081,AR6_WGII,1996,2,"These climatic impacts will have cascading implications for local livelihoods, sustainable economic development pathways and regional connectivity, and will reinforce pre-existing social inequities",medium,1,test,high,False
6104,AR6_WGII,2056,29,"Due to the large range of insular- related vulnerabilities, almost 50% of terrestrial species presently considered at risk of global extinction also occur on islands",high,2,test,high,True
6161,AR6_WGII,2072,6,"Tropical island natural habitats/systems are highly vulnerable to extreme weather events such as TCs, due to their small size, unique ecological systems and often low socioeconomic capacity",high,2,test,high,True
6178,AR6_WGII,2136,15,"Of the 6116 projections for more than 2700 species assessed in biodiversity hotspots, ~44% were found to be at high extinction risk, and ~24% at very high extinction risk due to climate change",medium,1,test,high,False
6211,AR6_WGII,2147,2,Temperature-driven range shifts and range expansions are projected to also lead to cascading effects on marine biodiversity through ecological interactions,high,2,test,high,True
6230,AR6_WGII,2149,0,"While forest growth is projected to potentially increase due to carbon dioxide fertilization, this may be compromised by drought",low,0,test,medium,False
6248,AR6_WGII,2154,23,"A national scale analysis projected climate change to cause freshwater species range shifts, but no losses of species in this hotspot",low,0,test,medium,False
6249,AR6_WGII,2154,28,"Marine heatwaves have increased over the past century, causing mass mortalities in the hotspots of the Mediterranean (H216), Great Barrier Reef (H236), western and southern Australia (H227, 228), northwest Atlantic (H207) and northeast Pacific (H197)",high,2,test,very high,False
6252,AR6_WGII,2154,31,"Coral reefs in some Indian Ocean hotspots (H230, 234) already exhibit net loss of coral reefs",low,0,test,high,False
6312,AR6_WGII,2177,7,Engaging the private sector in coastal adaptation action with a range of financial tools is crucial to address the coastal adaptation funding gap,high,2,test,medium,False
6390,AR6_WGII,2249,4,"Observed trends in annual precipitation are significant only in some areas and some periods, and they are stationary over the long term throughout the region",medium,1,test,medium,True
6392,AR6_WGII,2249,9,Widespread increase of evaporative demand and some decrease of precipitation explain the drying of the Mediterranean region during recent decades,high,2,test,high,True
6415,AR6_WGII,2286,16,"The combined effects of climate change, hydropower development and other human interventions have exacerbated water security problems and social injustice",medium,1,test,high,False
6543,AR6_WGII,2340,1,Macroalgae and seagrass are generally expanding in the Arctic,medium,1,test,medium,True
6546,AR6_WGII,2340,4,"Despite large-scale environmental changes in the Southern Ocean, such as the deepening of the summer mixed layer (medium confidence) (Panassa et al., 2018; Sallée et al., 2021), and the expected impacts via altered nutrient entrainment, light availability and grazer encounter rates (Chapter 3) (Behrenfeld and Boss, 2014; Llort et al., 2019), assessments indicated no consistent changes in primary production at the circumpolar scale, as sectors and regions show different trends",medium,1,test,medium,True
6547,AR6_WGII,2340,6,Primary productivity has increased in the Pacific sector and decreased in the Atlantic sector and the Ross Sea,low,0,test,medium,False
6585,AR6_WGII,2344,5,"Some global- scale models project increases in potential fishery yields in Arctic Canada (Cheung, 2018; Bindoff et al., 2019; Tai et al., 2019), whereas many observational studies and high-resolution regional projections suggest overall declines in biomass, productivity and yield associated with warming and loss of sea ice in multiple regions such as the Bering Sea",medium,1,test,medium,True
6593,AR6_WGII,2346,13,"Climate change has increased risks to, and demand for, polar tourism experiences with the development of a ‘last chance tourism market’",medium,1,test,medium,True
6594,AR6_WGII,2346,21,Climate hazards create risks to transportation sectors with consequences for economic development,high,2,test,high,True
6598,AR6_WGII,2350,9,"Permafrost thaw, sea-level rise and reduced sea ice protection also presents the potential for the introduction and propagation of invasive species (Chan et al., 2019; Rosenhaim et al., 2019), and sovereignty tensions with implications for global geopolitics (Drewniak et al., 2018)",medium,1,test,medium,True
6635,AR6_WGII,2383,8,"While strong mitigation efforts are fundamental to minimising future climate impacts on forests, forest management can be improved in many places in support of enhancing the resilience of tropical forests, often with significant co-benefits for carbon storage, biodiversity, food security and ecosystem services",high,2,test,high,True
6660,AR6_WGII,2395,2,Maximising tropical forest extent has well-described benefits in mitigating CO2 emissions and in the role of forests regulating global climate,high,2,test,very high,False
6668,AR6_WGII,2425,16,"Climate variability and extremes are associated with increased prevalence of conflict, with more consistent evidence for low- intensity organised violence than for major armed conflict. Compared with other socioeconomic drivers, the link is relatively weak and conditional on high population size, low socioeconomic development, high political marginalisation and high agricultural dependence",medium,1,test,medium,True
6669,AR6_WGII,2425,17,Literature suggests a larger climate-related influence on the dynamics of conflict than on the likelihood of initial conflict outbreak,low,0,test,medium,False
6751,AR6_WGII,2468,7,"Freshwater ecosystems and their biodiversity are at high risk of biodiversity loss and turnover due to climate change (precipitation change and warming, including warming of water bodies), due to high sensitivity of processes and life histories to thermal conditions and water quality (Chapter 2)",high,2,test,high,True
6767,AR6_WGII,2472,1,"Without effective adaptation measures, regions with high dependence on climate-sensitive livelihoods—particularly agriculture and fisheries in the tropics and coastal regions—would be severely impacted even at low levels of warming",high,2,test,high,True
6775,AR6_WGII,2476,16,"Expert elicitation estimates that 4°C warming above pre-industrial levels will have severe and widespread effects on armed conflict with 26% probability, assuming no change from present levels in non- climatic drivers (Mach et al., 2019). That judgement refers to impacts that exceed the threshold for severity considered here, suggesting that global warming of 4°C would produce severe risks to peace under present societal conditions",low,0,test,medium,False
6803,AR6_WGII,2500,4,"Droughts, floods and marine heatwaves contribute to reduced food availability and increased food prices, threatening food security, nutrition and livelihoods of millions",high,2,test,very high,False
6813,AR6_WGII,2505,10,Risks to aggregate economic output would become severe at the global scale at high warming (~4.4°C) and minimal adaptation,medium,1,test,medium,True
6840,AR6_WGII,2553,18,"Informal or individual-led decision-making is more common in food security and livelihood-related adaptations, such as changes to diets, livelihood diversification and seasonal migration",high,2,test,high,True
6885,AR6_WGII,2555,11,"Climate risks can emerge at different rates and time horizons, and the interactions between risks vary from region to region",very high,3,test,high,False
6915,AR6_WGII,2569,30,"Both RKRs and systems are facing substantial (residual) risk, characterised by adaptation limits and sharing heatwaves as the hazard, for which climate change has been considered the major driver of increasing intensity and frequency",high,2,test,high,True
6921,AR6_WGII,2573,5,"Modelling has shown, however, that the effectiveness of such high-risk interventions declines beyond 2°C of global warming",medium,1,test,medium,True
6962,AR6_WGII,2588,17,"Since AR5, recognition of the importance of using integrated adaptation to improve climate risk management across the nexus between many sectors and across regions has increased",high,2,test,high,True
7083,AR6_WGII,2682,14,"While there are many possible successful pathways to future development in the context of climate change, history shows that pathways positive for the vast majority of people typically induce significant impacts and costs, especially on marginal and vulnerable people",high,2,test,medium,False
7102,AR6_WGII,2699,22,"Synergies between adaptation, mitigation and sustainable development might be promoted by prioritising those CRD strategies most likely to generate synergies",very high,3,test,medium,False
7104,AR6_WGII,2700,9,"Globally, low climate change projections, versus higher climate change projections, imply greater mitigation, lower climate risks and less adaptation. This implies greater mitigation trade-offs in terms of overall economic development, food crop prices, energy prices and overall household consumption, but lower climate risk, with sustainable development synergies such as human health and lower adaptation trade-offs, and an uneven distribution of effects",very high,3,test,high,False
7114,AR6_WGII,2703,3,Urban transitions will be associated with synergies as well as trade-offs with respect to sustainable development,very high,3,test,high,False
7131,AR6_WGII,2718,23,"Addressing climate impacts in isolation is unlikely to achieve equitable, efficient or effective adaptation outcomes",very high,3,test,high,False
7132,AR6_WGII,2718,26,"Although higher levels of poverty, corruption, and economic and social inequalities can increase the risk of negative outcomes, these potential negative effects would be mitigated if inequality impacts were taken into consideration in all stages of policy making",very high,3,test,medium,False
7135,AR6_WGII,2719,29,"Stable and predictable carbon-pricing regimes would significantly contribute to fostering financial innovation that can help further accelerate the decarbonisation of the global economy, even in jurisdictions which are more lenient in implementing climate mitigation actions",very high,3,test,medium,False
7146,AR6_WGII,2725,8,"Climate-resilient futures will depend on recognising the socioeconomic, political and health inequities that often affect Indigenous Peoples (Mapfumo et al., 2016; Ludwig and Poliseli, 2018)",very high,3,test,medium,False
7149,AR6_WGII,2727,17,"More integration of government policy and interventions across scales, accompanied by capacity building to accelerate adaptation is needed",very high,3,test,high,False
7152,AR6_WGII,2728,15,"While GDP growth can drive growth in income, it can also drive growth in inequality which can undermine poverty reduction efforts",very high,3,test,medium,False
7163,AR6_WGII,2733,19,Common indicators of development reflect the significant diversity that exists across different global regions with respect to their development context,very high,3,test,very high,True
7171,AR6_WGII,2735,8,"Issues associated with natural resource dependency, access to information for decision making, access to human and financial capital, and path dependence of institutions represent barriers that must be overcome if sectors are to support transitions that enable CRD. These challenges are more acute within vulnerable communities or nations where capacity to innovate and invest are constrained and social inequities reinforce the status quo",very high,3,test,high,False
7244,AR6_WGIII,25,5,"At least 18 countries that had Kyoto targets for the first commitment period have had sustained absolute emission reductions for at least a decade from 2005, of which two were countries with economies in transition",very high,3,test,high,False
7258,AR6_WGIII,29,18,"Modelled pathways that are consistent with NDCs announced prior to COP26 until 2030 and assume no increase in ambition thereafter have higher emissions, leading to a median global warming of 2.8 [2.1–3.4] °C by 2100",medium,1,test,high,False
7271,AR6_WGIII,42,8,"For cities, three broad mitigation strategies have been found to be effective when implemented concurrently: (i) reducing or changing energy and material use towards more sustainable production and consumption; (ii) electrification in combination with switching to low-emission energy sources; and (iii) enhancing carbon uptake and storage in the urban environment, for example through bio-based building materials, permeable surfaces, green roofs, trees, green spaces, rivers, ponds and lakes.",very high,3,test,high,False
7394,AR6_WGIII,86,2,"Policies can shift development pathways. There are examples of policies implemented in the pursuit of overall societal development objectives, such as job creation, macroeconomic stability, economic growth, and public health and welfare. In some countries, such policies are framed as part of a Just Transition, however, they can have major influence on mitigative capacity, and hence can be seen as tools to broaden mitigation options",medium,1,test,medium,True
7417,AR6_WGIII,97,28,"When aggregate economic benefits from avoided climate change impacts are accounted for, mitigation is a welfare-enhancing strategy",high,2,test,medium,False
7432,AR6_WGIII,106,10,"For most regions, per-capita urban emissions are lower than per-capita national emissions (excluding aviation, shipping and biogenic sources)",very high,3,test,high,False
7443,AR6_WGIII,111,7,Advanced biofuels could provide low-carbon jet fuel,medium,1,test,medium,True
7444,AR6_WGIII,111,8,The production of synthetic fuels using low-carbon hydrogen with CO2 captured through DACCS/BECCS could provide jet and marine fuels but these options still require demonstration at scale,low,0,test,medium,False
7460,AR6_WGIII,115,10,"Building energy codes have proven to be effective if compulsory and combined with other regulatory instruments such as minimum energy performance standard for appliances and equipment, if the performance level is set at the level of the best available technologies in the market",high,2,test,high,True
7496,AR6_WGIII,145,22,Complementarity in policies helps in the design of an optimal demand-side policy mix,medium,1,test,high,False
7517,AR6_WGIII,148,13,Technological innovation can also bring about new and improved ways of delivering services that are essential to human well-being,high,2,test,high,True
7522,AR6_WGIII,150,6,The evidence on the role of intellectual property rights (IPR) in innovation is mixed. Some literature suggests that it is a barrier while other sources suggests that it is an enabler to the diffusion of climate-related technologies,medium,1,test,medium,True
7532,AR6_WGIII,153,27,"There can be many synergies in urban areas between mitigation policies and the SDGs but capturing these depends on the overall planning of urban structures and on local integrated policies such as combining affordable housing and spatial planning with walkable urban areas, green electrification and clean renewable energy",medium,1,test,high,False
7535,AR6_WGIII,159,10,"Those same conditions that may serve to impede the transition (i.e., organisational structure, behaviour, technological lock-in) can also ‘flip’ to enable both the transition and the framing of sustainable development policies to create a stronger basis for policy support",high,2,test,medium,False
7540,AR6_WGIII,168,13,"Modelled direct mitigation costs of pathways to 1.5°C, with no/limited overshoot, span a wide range, but were typically three to four times higher than in pathways to 2°C",high,2,test,high,True
7541,AR6_WGIII,229,1,"Since 2010, GHG emissions have continued to grow, reaching 59 ± 6.6 GtCO 2-eq in 2019,1 but the average annual growth in the last decade (1.3%, 2010–2019) was lower than in the previous decade (2.1%, 2000–2009)",high,2,test,very high,False
7637,AR6_WGIII,426,7,"Climate change will reduce crop yields, increase food insecurity, and negatively influence nutrition and mortality. Climate mitigation will thus reduce these impacts, and hence reduce food insecurity",high,2,test,high,True
7641,AR6_WGIII,427,32,Climate models project increases in drought risk,very high,3,test,high,False
7669,AR6_WGIII,742,23,"Fossil fuel subsidies most commonly pursue non-climate objectives, for example, enhanced access to energy sources",high,2,test,high,True
7682,AR6_WGIII,747,2,"Wind power is increasingly competitive with other forms of electricity generation and is the low-cost option in many applications, and critical areas for continued improvement are technology advancements and economies of scale",high,2,test,high,True
7723,AR6_WGIII,780,14,Changing wind variability may have a small-to-modest impact on backup energy and storage needs,low,0,test,medium,False
7725,AR6_WGIII,781,24,The effect of climate change on bioenergy crop yields will increase in high latitudes,low,0,test,medium,False
7793,AR6_WGIII,887,34,"To date USD0.7 billion yr–1 is estimated to have been spent on AFOLU mitigation, which is well short of the more than USD400 billion yr–1 that is estimated to be necessary to deliver the up to 30% of global mitigation effort envisaged in deep mitigation scenarios",medium,1,test,high,False
7828,AR6_WGIII,951,49,"A large literature has investigated whether PES programmes have successfully protected habitats. Despite concerns, the many lessons learned from PES programme implementation provide critical information that will help policymakers refine future PES programmes to increase their effectiveness",medium,1,test,medium,True
7859,AR6_WGIII,1026,3,"Future urban expansion will amplify the background warming caused by GHG emissions, with extreme warming most pronounced during night-time",very high,3,test,high,False
7866,AR6_WGIII,1257,4,"Transport- related emissions in developing regions of the world have increased more rapidly than in Europe or North America, a trend that is likely to continue in coming decades",high,2,test,high,True
7875,AR6_WGIII,1257,34,The production of synthetic fuels using low-carbon hydrogen with CO2 captured through direct air capture (DAC) or bioenergy with carbon capture and storage (BECCS) could provide jet and marine fuels but these options still require demonstration at scale,low,0,test,medium,False
7914,AR6_WGIII,1673,3,"In some cases, notably with respect to aviation and shipping, sectoral agreements have adopted climate mitigation goals that fall far short of what would be required to achieve the temperature goal of the Paris Agreement",high,2,test,high,True
7931,AR6_WGIII,1769,15,"In addition to indirect and direct subsidies, the public sector’s role in addressing market failures, barriers, provision of information, and risk sharing (equity, various forms of public guarantees) can encourage the efficient mobilisation of private sector finance",high,2,test,high,True
8013,AR6_WGIII,1822,24,"Options to mobilise institutional investors currently remain small pilots, relative to Paris and SDG ambitions",high,2,test,medium,False
8024,AR6_WGIII,1827,13,"REDD+ can significantly contribute to climate change mitigation and also produce other co-benefits like climate change adaptation, biodiversity conservation, and poverty reduction, if well-implemented",high,2,test,medium,False
8056,AR6_WGIII,2011,5,Large-scale bioenergy projects with CCS may be expensive,medium,1,test,medium,True
8067,AR6_WGIII,2012,8,"Reforestation and forest restoration can have co-benefits for food security, and cleaner air and greener environment generally leads to better health",medium,1,test,high,False
8086,AR6_WGIII,2016,8,"BEVs could create jobs associated with the EV supply chain, and could create jobs to build and operate the associated infrastructure",low,0,test,medium,False
8093,AR6_WGIII,2058,21,"For pathways that limit warming to 2°C (>67%) or lower, using GWP100 to inform cost-effective abatement choices between gases would achieve these long-term temperature goals at close to least global cost within a few percent",high,2,test,medium,False
