statement_idx	report	page_num	sent_num	statement	confidence	score	split
2333	AR6_WGII	22	19	Economic damages from climate change have been detected in climate-exposed sectors, with regional effects to agriculture, forestry, fishery, energy, and tourism (high confidence), and through outdoor labour productivity	high	2	train
2334	AR6_WGII	22	20	Some extreme weather events, such as tropical cyclones, have reduced economic growth in the short-term	high	2	train
2335	AR6_WGII	22	21	Non-climatic factors including some patterns of settlement, and siting of infrastructure have contributed to the exposure of more assets to extreme climate hazards increasing the magnitude of the losses	high	2	train
2336	AR6_WGII	22	22	Individual livelihoods have been affected through changes in agricultural productivity, impacts on human health and food security, destruction of homes and infrastructure, and loss of property and income, with adverse effects on gender and social equity	high	2	train
2337	AR6_WGII	22	24	Climate and weather extremes are increasingly driving displacement in all regions (high confidence), with Small Island States disproportionately affected	high	2	train
2338	AR6_WGII	22	25	Flood and drought-related acute food insecurity and malnutrition have increased in Africa (high confidence) and Central and South America	high	2	train
2339	AR6_WGII	22	26	While non-climatic factors are the dominant drivers of existing intrastate violent conflicts, in some assessed regions extreme weather and climate events have had a small, adverse impact on their length, severity or frequency, but the statistical association is weak	medium	1	train
2340	AR6_WGII	22	27	Through displacement and involuntary migration from extreme weather and climate events, climate change has generated and perpetuated vulnerability	medium	1	train
2341	AR6_WGII	23	3	Approximately 3.3 to 3.6 billion people live in contexts that are highly vulnerable to climate change	high	2	train
2342	AR6_WGII	23	4	A high proportion of species is vulnerable to climate change	high	2	train
2343	AR6_WGII	23	5	Human and ecosystem vulnerability are interdependent	high	2	train
2344	AR6_WGII	23	6	Current unsustainable development patterns are increasing exposure of ecosystems and people to climate hazards	high	2	train
2345	AR6_WGII	23	8	Unsustainable land-use and land cover change, unsustainable use of natural resources, deforestation, loss of biodiversity, pollution, and their interactions, adversely affect the capacities of ecosystems, societies, communities and individuals to adapt to climate change	high	2	train
2346	AR6_WGII	23	9	Loss of ecosystems and their services has cascading and long-term impacts on people globally, especially for Indigenous Peoples and local communities who are directly dependent on ecosystems, to meet basic needs	high	2	train
2347	AR6_WGII	23	11	Globally, and even within protected areas, unsustainable use of natural resources, habitat fragmentation, and ecosystem damage by pollutants increase ecosystem vulnerability to climate change	high	2	train
2348	AR6_WGII	23	13	In most protected areas, there is insufficient stewardship to contribute to reducing damage from, or increasing resilience to, climate change	high	2	train
2349	AR6_WGII	23	15	Projected climate change, combined with non-climatic drivers, will cause loss and degradation of much of the world’s forests (high confidence), coral reefs and low-lying coastal wetlands	very high	3	train
2350	AR6_WGII	23	16	While agricultural development contributes to food security, unsustainable agricultural expansion, driven in part by unbalanced diets32, increases ecosystem and human vulnerability and leads to competition for land and/or water resources	high	2	train
2351	AR6_WGII	23	18	Global hotspots of high human vulnerability are found particularly in West-, Central- and East Africa, South Asia, Central and South America, Small Island Developing States and the Arctic	high	2	train
2352	AR6_WGII	23	19	Vulnerability is higher in locations with poverty, governance challenges and limited access to basic services and resources, violent conflict and high levels of climate-sensitive livelihoods (e.g., smallholder farmers, pastoralists, fishing communities)	high	2	train
2353	AR6_WGII	23	20	Between 2010–2020, human mortality from floods, droughts and storms was 15 times higher in highly vulnerable regions, compared to regions with very low vulnerability	high	2	train
2354	AR6_WGII	23	21	Vulnerability at different spatial levels is exacerbated by inequity and marginalization linked to gender, ethnicity, low income or combinations thereof (high confidence), especially for many Indigenous Peoples and local communities	high	2	train
2355	AR6_WGII	23	22	Present development challenges causing high vulnerability are influenced by historical and ongoing patterns of inequity such as colonialism, especially for many Indigenous Peoples and local communities	high	2	train
2356	AR6_WGII	24	1	In rural areas vulnerability will be heightened by compounding processes including high emigration, reduced habitability and high reliance on climate-sensitive livelihoods	high	2	train
2357	AR6_WGII	24	2	Key infrastructure systems including sanitation, water, health, transport, communications and energy will be increasingly vulnerable if design standards do not account for changing climate conditions	high	2	train
2358	AR6_WGII	24	3	Vulnerability will also rapidly rise in low-lying Small Island Developing States and atolls in the context of sea level rise and in some mountain regions, already characterised by high vulnerability due to high dependence on climate-sensitive livelihoods, rising population displacement, the accelerating loss of ecosystem services and limited adaptive capacities	high	2	train
2359	AR6_WGII	24	4	Future exposure to climatic hazards is also increasing globally due to socioeconomic development trends including migration, growing inequality and urbanization	high	2	train
2360	AR6_WGII	24	6	The level of risk will depend on concurrent near- term trends in vulnerability, exposure, level of socioeconomic development and adaptation	high	2	train
2361	AR6_WGII	24	7	Near-term actions that limit global warming to close to 1.5°C would substantially reduce projected losses and damages related to climate change in human systems and ecosystems, compared to higher warming levels, but cannot eliminate them all	very high	3	train
2362	AR6_WGII	24	9	Near-term risks for biodiversity loss are moderate to high in forest ecosystems (medium confidence), kelp and seagrass ecosystems (high to very high confidence), and high to very high in Arctic sea-ice and terrestrial ecosystems (high confidence) and warm-water coral reefs	very high	3	train
2363	AR6_WGII	24	10	Continued and accelerating sea level rise will encroach on coastal settlements and infrastructure (high confidence) and commit low-lying coastal ecosystems to submergence and loss	medium	1	train
2364	AR6_WGII	24	11	If trends in urbanisation in exposed areas continue, this will exacerbate the impacts, with more challenges where energy, water and other services are constrained	medium	1	train
2365	AR6_WGII	24	12	The number of people at risk from climate change and associated loss of biodiversity will progressively increase	medium	1	train
2366	AR6_WGII	24	13	Violent conflict and, separately, migration patterns, in the near-term will be driven by socioeconomic conditions and governance more than by climate change	medium	1	train
2367	AR6_WGII	24	15	Regional differences exist, and risks are highest where species and people exist close to their upper thermal limits, along coastlines, in close association with ice or seasonal rivers	high	2	train
2368	AR6_WGII	24	16	Risks are also high where multiple non-climate drivers persist or where vulnerability is otherwise elevated	high	2	train
2369	AR6_WGII	24	17	Many of these risks are unavoidable in the near-term, irrespective of emissions scenario	high	2	train
2370	AR6_WGII	24	18	Several risks can be moderated with adaptation	high	2	train
2371	AR6_WGII	24	20	Between 1.2°C and 4.5°C global warming level very high risks emerge in all five RFCs compared to just two RFCs in AR5	high	2	train
2372	AR6_WGII	24	21	Two of these transitions from high to very high risk are associated with near-term warming: risks to unique and threatened systems at a median value of 1.5 [1.2 to 2.0] °C (high confidence) and risks associated with extreme weather events at a median value of 2.0 [1.8 to 2.5] °C	medium	1	train
2373	AR6_WGII	24	22	Some key risks contributing to the RFCs are projected to lead to widespread, pervasive, and potentially irreversible impacts at global warming levels of 1.5–2°C if exposure and vulnerability are high and adaptation is low	medium	1	train
2374	AR6_WGII	24	23	Near-term actions that limit global warming to close to 1.5°C would substantially reduce projected losses and damages related to climate change in human systems and ecosystems, compared to higher warming levels, but cannot eliminate them all	very high	3	train
2375	AR6_WGII	25	2	For 127 identified key risks, assessed mid- and long-term impacts are up to multiple times higher than currently observed	high	2	train
2376	AR6_WGII	25	3	The magnitude and rate of climate change and associated risks depend strongly on near-term mitigation and adaptation actions, and projected adverse impacts and related losses and damages escalate with every increment of global warming	very high	3	train
2377	AR6_WGII	25	6	In ocean and coastal ecosystems, risk of biodiversity loss ranges between moderate and very high by 1.5°C global warming level and is moderate to very high by 2°C but with more ecosystems at high and very high risk	high	2	train
2378	AR6_WGII	25	7	Very high extinction risk for endemic species in biodiversity hotspots is projected to at least double from 2% between 1.5°C and 2°C global warming levels and to increase at least tenfold if warming rises from 1.5°C to 3°C	medium	1	train
2379	AR6_WGII	25	9	At approximately 2°C global warming, snowmelt water availability for irrigation is projected to decline in some snowmelt dependent river basins by up to 20%, and global glacier mass loss of 18 ± 13% is projected to diminish water availability for agriculture, hydropower, and human settlements in the mid- to long-term, with these changes projected to double with 4°C global warming	medium	1	train
2380	AR6_WGII	25	10	In Small Islands, groundwater availability is threatened by climate change	high	2	train
2381	AR6_WGII	25	11	Changes to streamflow magnitude, timing and associated extremes are projected to adversely impact freshwater ecosystems in many watersheds by the mid- to long-term across all assessed scenarios	medium	1	train
2382	AR6_WGII	25	12	Projected increases in direct flood damages are higher by 1.4 to 2 times at 2°C and 2.5 to 3.9 times at 3°C compared to 1.5°C global warming without adaptation	medium	1	train
2383	AR6_WGII	25	13	At global warming of 4°C, approximately 10% of the global land area is projected to face increases in both extreme high and low river flows in the same location, with implications for planning for all water use sectors	medium	1	train
2384	AR6_WGII	25	14	Challenges for water management will be exacerbated in the near, mid and long term, depending on the magnitude, rate and regional details of future climate change and will be particularly challenging for regions with constrained resources for water management	high	2	train
2385	AR6_WGII	25	16	Increases in frequency, intensity and severity of droughts, floods and heatwaves, and continued sea level rise will increase risks to food security (high confidence) in vulnerable regions from moderate to high between 1.5°C and 2°C global warming level, with no or low levels of adaptation	medium	1	train
2386	AR6_WGII	25	17	At 2°C or higher global warming level in the mid-term, food security risks due to climate change will be more severe, leading to malnutrition and micro-nutrient deficiencies, concentrated in Sub-Saharan Africa, South Asia, Central and South America and Small Islands	high	2	train
2387	AR6_WGII	25	18	Global warming will progressively weaken soil health and ecosystem services such as pollination, increase pressure from pests and diseases, and reduce marine animal biomass, undermining food productivity in many regions on land and in the ocean	medium	1	train
2388	AR6_WGII	25	19	At 3°C or higher global warming level in the long term, areas exposed to climate-related hazards will expand substantially compared with 2°C or lower global warming level (high confidence), exacerbating regional disparity in food security risks	high	2	train
2389	AR6_WGII	26	1	Globally, population exposure to heatwaves will continue to increase with additional warming, with strong geographical differences in heat-related mortality without additional adaptation	very high	3	train
2390	AR6_WGII	26	2	Climate-sensitive food-borne, water-borne, and vector-borne disease risks are projected to increase under all levels of warming without additional adaptation	high	2	train
2391	AR6_WGII	26	3	In particular, dengue risk will increase with longer seasons and a wider geographic distribution in Asia, Europe, Central and South America and sub-Saharan Africa, potentially putting additional billions of people at risk by the end of the century	high	2	train
2392	AR6_WGII	26	4	Mental health challenges, including anxiety and stress, are expected to increase under further global warming in all assessed regions, particularly for children, adolescents, elderly, and those with underlying health conditions	very high	3	test
2393	AR6_WGII	26	6	Globally, population change in low-lying cities and settlements will lead to approximately a billion people projected to be at risk from coastal-specific climate hazards in the mid-term under all scenarios, including in Small Islands	high	2	train
2394	AR6_WGII	26	7	The population potentially exposed to a 100-year coastal flood is projected to increase by about 20% if global mean sea level rises by 0.15 m relative to 2020 levels; this exposed population doubles at a 0.75 m rise in mean sea level and triples at 1.4 m without population change and additional adaptation	medium	1	train
2395	AR6_WGII	26	8	Sea level rise poses an existential threat for some Small Islands and some low-lying coasts	medium	1	train
2396	AR6_WGII	26	9	By 2100 the value of global assets within the future 1-in-100 year coastal floodplains is projected to be between US$7.9 and US$12.7 trillion (2011 value) under RCP4.5, rising to between US$8.8 and US$14.2 trillion under RCP8.5	medium	1	train
2397	AR6_WGII	26	10	Costs for maintenance and reconstruction of urban infrastructure, including building, transportation, and energy will increase with global warming level (medium confidence), the associated functional disruptions are projected to be substantial particularly for cities, settlements and infrastructure located on permafrost in cold regions and on coasts	high	2	train
2398	AR6_WGII	26	12	The existence of higher estimates than assessed in AR5 indicates that global aggregate economic impacts could be higher than previous estimates (low confidence).36 Significant regional variation in aggregate economic damages from climate change is projected (high confidence) with estimated economic damages per capita for developing countries often higher as a fraction of income	high	2	train
2399	AR6_WGII	26	13	Economic damages, including both those represented and those not represented in economic markets, are projected to be lower at 1.5°C than at 3°C or higher global warming levels	high	2	train
2400	AR6_WGII	26	15	At progressive levels of warming, involuntary migration from regions with high exposure and low adaptive capacity would occur	medium	1	train
2401	AR6_WGII	26	16	Compared to other socioeconomic factors the influence of climate on conflict is assessed as relatively weak	high	2	train
2402	AR6_WGII	26	17	Along long-term socioeconomic pathways that reduce non-climatic drivers, risk of violent conflict would decline	medium	1	train
2403	AR6_WGII	26	18	At higher global warming levels, impacts of weather and climate extremes, particularly drought, by increasing vulnerability will increasingly affect violent intrastate conflict	medium	1	train
2404	AR6_WGII	26	20	There is evidence that some regions could benefit from low levels of warming	high	2	train
2405	AR6_WGII	29	4	Multiple risks interact, generating new sources of vulnerability to climate hazards, and compounding overall risk	high	2	train
2406	AR6_WGII	29	5	Increasing concurrence of heat and drought events are causing crop production losses and tree mortality	high	2	train
2407	AR6_WGII	29	6	Above 1.5°C global warming increasing concurrent climate extremes will increase risk of simultaneous crop losses of maize in major food-producing regions, with this risk increasing further with higher global warming levels	medium	1	train
2408	AR6_WGII	29	7	Future sea level rise combined with storm surge and heavy rainfall will increase compound flood risks	high	2	train
2409	AR6_WGII	29	8	Risks to health and food production will be made more severe from the interaction of sudden food production losses from heat and drought, exacerbated by heat-induced labour productivity losses	high	2	train
2410	AR6_WGII	29	9	These interacting impacts will increase food prices, reduce household incomes, and lead to health risks of malnutrition and climate-related mortality with no or low levels of adaptation, especially in tropical regions	high	2	train
2411	AR6_WGII	29	10	Risks to food safety from climate change will further compound the risks to health by increasing food contamination of crops from mycotoxins and contamination of seafood from harmful algal blooms, mycotoxins, and chemical contaminants	high	2	train
2412	AR6_WGII	29	12	These hazards and cascading risks also trigger tipping points in sensitive ecosystems and in significantly and rapidly changing social-ecological systems impacted by ice melt, permafrost thaw and changing hydrology in polar regions	high	2	train
2413	AR6_WGII	30	1	In Amazonia, and in some mountain regions, cascading impacts from climatic (e.g., heat) and non-climatic stressors (e.g., land use change) will result in irreversible and severe losses of ecosystem services and biodiversity at 2°C global warming level and beyond	medium	1	train
2414	AR6_WGII	30	2	Unavoidable sea level rise will bring cascading and compounding impacts resulting in losses of coastal ecosystems and ecosystem services, groundwater salinisation, flooding and damages to coastal infrastructure that cascade into risks to livelihoods, settlements, health, well-being, food and water security, and cultural values in the near to long-term	high	2	train
2415	AR6_WGII	30	5	Climate change causes the redistribution of marine fish stocks, increasing risk of transboundary management conflicts among fisheries users, and negatively affecting equitable distribution of food provisioning services as fish stocks shift from lower to higher latitude regions, thereby increasing the need for climate-informed transboundary management and cooperation	high	2	train
2416	AR6_WGII	30	6	Precipitation and water availability changes increases the risk of planned infrastructure projects, such as hydropower in some regions, having reduced productivity for food and energy sectors including across countries that share river basins	medium	1	train
2417	AR6_WGII	30	8	Deployment of afforestation of naturally unforested land, or poorly implemented bioenergy, with or without carbon capture and storage, can compound climate-related risks to biodiversity, water and food security, and livelihoods, especially if implemented at large scales, especially in regions with insecure land tenure	high	2	train
2418	AR6_WGII	30	10	Solar radiation modification approaches have potential to offset warming and ameliorate some climate hazards, but substantial residual climate change or overcompensating change would occur at regional scales and seasonal timescales	high	2	train
2419	AR6_WGII	30	12	Solar radiation modification would not stop atmospheric CO 2 concentrations from increasing or reduce resulting ocean acidification under continued anthropogenic emissions	high	2	train
2420	AR6_WGII	30	15	Depending on the mag- nitude and duration of overshoot, some impacts will cause release of additional greenhouse gases (medium confidence) and some will be irreversible, even if global warming is reduced	high	2	train
2421	AR6_WGII	30	17	Additional warming, e.g., above 1.5°C during an overshoot period this century, will result in irreversible impacts on certain ecosystems with low resilience, such as polar, mountain, and coastal ecosystems, impacted by ice-sheet, glacier melt, or by accelerating and higher committed sea level rise (high confidence).38 Risks to human systems will increase, including those to infrastructure, low-lying coastal settlements, some ecosystem-based adaptation measures, and associated livelihoods (high confidence), cultural and spiritual values	medium	1	train
2422	AR6_WGII	30	18	Projected impacts are less severe with shorter duration and lower levels of overshoot	medium	1	train
2423	AR6_WGII	31	1	In high-carbon ecosystems (currently storing 3,000 to 4,000 GtC) such impacts are already observed and are projected to increase with every additional increment of global warming, such as increased wildfires, mass mortality of trees, drying of peatlands, and thawing of permafrost, weakening natural land carbon sinks and increasing releases of greenhouse gases	medium	1	test
2424	AR6_WGII	31	2	The resulting contribution to a potential amplification of global warming indicates that a return to a given global warming level or below would be more challenging	medium	1	train
2425	AR6_WGII	31	9	However, adaptation progress is unevenly distributed with observed adaptation gaps40	high	2	train
2426	AR6_WGII	31	10	Many initiatives prioritize immediate and near-term climate risk reduction which reduces the opportunity for transformational adaptation	high	2	train
2427	AR6_WGII	31	12	Growing public and political awareness of climate impacts and risks has resulted in at least 170 countries and many cities including adaptation in their climate policies and planning processes	high	2	train
2428	AR6_WGII	31	13	Decision support tools and climate services are increasingly being used	very high	3	train
2429	AR6_WGII	31	14	Pilot projects and local experiments are being implemented in different sectors	high	2	train
2430	AR6_WGII	31	15	Adaptation can generate multiple additional benefits such as improving agricultural productivity, innovation, health and well-being, food security, livelihood, and biodiversity conservation as well as reduction of risks and damages	very high	3	test
2431	AR6_WGII	31	17	Most observed adaptation is fragmented, small in scale, incremental, sector-specific, designed to respond to current impacts or near-term risks, and focused more on planning rather than implementation	high	2	train
2432	AR6_WGII	31	18	Observed adaptation is unequally distributed across regions (high confidence), and gaps are partially driven by widening disparities between the estimated costs of adaptation and documented finance allocated to adaptation	high	2	train
2433	AR6_WGII	31	19	The largest adaptation gaps exist among lower income population groups	high	2	train
2434	AR6_WGII	31	20	At current rates of adaptation planning and implementation the adaptation gap will continue to grow	high	2	train
2435	AR6_WGII	31	21	As adaptation options often have long implementation times, long-term planning and accelerated implementation, particularly in the next decade, is important to close adaptation gaps, recognising that constraints remain for some regions	high	2	train
2436	AR6_WGII	32	6	The feasibility of implementing adaptation options in the near-term differs across sectors and regions	very high	3	train
2437	AR6_WGII	32	7	The effec- tiveness of adaptation to reduce climate risk is documented for specific contexts, sectors and regions (high confidence) and will decrease with increasing warming	high	2	train
2438	AR6_WGII	32	8	Integrated, multi-sectoral solutions that address social in- equities, differentiate responses based on climate risk and cut across systems, increase the feasibility and effectiveness of adaptation in multiple sectors	high	2	train
2439	AR6_WGII	32	10	For inland flooding, combinations of non-structural measures like early warning systems and structural measures like levees have reduced loss of lives	medium	1	train
2440	AR6_WGII	32	11	Enhancing natural water retention such as by restoring wetlands and rivers, land use planning such as no build zones or upstream forest management, can further reduce flood risk	medium	1	train
2441	AR6_WGII	32	12	On-farm water management, water storage, soil moisture conservation and irrigation are some of the most common adaptation responses and provide economic, institutional or ecological benefits and reduce vulnerability	high	2	train
2442	AR6_WGII	32	13	Irrigation is effective in reducing drought risk and climate impacts in many regions and has several livelihood benefits, but needs appropriate management to avoid potential adverse outcomes, which can include accelerated depletion of groundwater and other water sources and increased soil salinization	medium	1	train
2443	AR6_WGII	32	14	Large scale irrigation can also alter local to regional temperature and precipitation patterns (high confidence), including both alleviating and exacerbating temperature extremes	medium	1	train
2444	AR6_WGII	32	15	The effectiveness of most water-related adaptation options to reduce projected risks declines with increasing warming	high	2	train
2445	AR6_WGII	32	17	Effective options include cultivar improvements, agroforestry, community-based adaptation, farm and landscape diversification, and urban agriculture	high	2	train
2446	AR6_WGII	32	19	Agroecological principles and practices, ecosystem-based management in fisheries and aquaculture, and other approaches that work with natural processes support food security, nutrition, health and well-being, livelihoods and biodiversity, sustainability and ecosystem services	high	2	train
2447	AR6_WGII	32	20	These services include pest control, pollination, buffering of temperature extremes, and carbon sequestration and storage	high	2	train
2448	AR6_WGII	32	21	Trade-offs and barriers associated with such approaches include costs of establishment, access to inputs and viable markets, new knowledge and management (high confidence) and their potential effectiveness varies by socioeconomic context, ecosystem zone, species combinations and institutional support	medium	1	train
2449	AR6_WGII	32	22	Integrated, multi-sectoral solutions that address social inequities and differentiate responses based on climate risk and local situation will enhance food security and nutrition	high	2	train
2450	AR6_WGII	32	23	Adaptation strategies which reduce food loss and waste or support balanced diets33 (as described in the IPCC Special Report on Climate Change and Land) contribute to nutrition, health, biodiversity and other environmental benefits	high	2	train
2451	AR6_WGII	35	1	The resilience of species, biological communities and ecosystem processes increases with size of natural area, by restoration of degraded areas and by reducing non-climatic stressors	high	2	train
2452	AR6_WGII	35	2	To be effective, conservation and restoration actions will increasingly need to be responsive, as appropriate, to ongoing changes at various scales, and plan for future changes in ecosystem structure, community composition and species’ distributions, especially as 1.5°C global warming is approached and even more so if it is exceeded	high	2	train
2453	AR6_WGII	35	3	Adaptation options, where circumstances allow, include facilitating the movement of species to new ecologically appropriate locations, particularly through increasing connectivity between conserved or protected areas, targeted intensive management for vulnerable species and protecting refugial areas where species can survive locally	medium	1	train
2454	AR6_WGII	35	5	Ecosystem-based Adaptation is vulnerable to climate change impacts, with effectiveness declining with increasing global warming	high	2	train
2455	AR6_WGII	35	6	Urban greening using trees and other vegetation can provide local cooling	very high	3	train
2456	AR6_WGII	35	7	Natural river systems, wetlands and upstream forest ecosystems reduce flood risk by storing water and slowing water flow, in most circumstances	high	2	train
2457	AR6_WGII	35	8	Coastal wetlands protect against coastal erosion and flooding associated with storms and sea level rise where sufficient space and adequate habitats are available until rates of sea level rise exceeds natural adaptive capacity to build sediment	very high	3	train
2458	AR6_WGII	35	10	The urgent provision of basic services, infrastructure, livelihood diversification and employment, strengthening of local and regional food systems and community-based adaptation enhance lives and livelihoods, particularly of low-income and marginalised groups	high	2	train
2459	AR6_WGII	35	11	Inclusive, integrated and long-term planning at local, municipal, sub-national and national scales, together with effective regulation and monitoring systems and financial and technological resources and capabilities foster urban and rural system transition	high	2	train
2460	AR6_WGII	35	14	Globally, more financing is directed at physical infrastructure than natural and social infrastructure	medium	1	train
2461	AR6_WGII	35	15	Ecosystem-based adaptation (e.g., urban agriculture and forestry, river restoration) has increasingly been applied in urban areas	high	2	train
2462	AR6_WGII	35	16	Combined ecosystem-based and structural adaptation responses are being developed, and there is growing evidence of their potential to reduce adaptation costs and contribute to flood control, sanitation, water resources management, landslide prevention and coastal protection	medium	1	train
2463	AR6_WGII	36	1	Such adaptation challenges would occur much earlier under high rates of sea level rise, in particular if low-likelihood, high impact outcomes associated with collapsing ice sheets occur	high	2	train
2464	AR6_WGII	36	2	Responses to ongoing sea level rise and land subsidence in low-lying coastal cities and settlements and small islands include protection, accommodation, advance and planned relocation	high	2	train
2465	AR6_WGII	36	3	These responses are more effective if combined and/or sequenced, planned well ahead, aligned with sociocultural values and development priorities, and underpinned by inclusive community engagement processes	high	2	train
2466	AR6_WGII	36	9	Energy generation diversification, including with renewable energy resources and generation that can be decentralised depending on context (e.g., wind, solar, small scale hydroelectric) and demand side management (e.g., storage, and energy efficiency improvements) can reduce vulnerabilities to climate change, especially in rural populations	high	2	train
2467	AR6_WGII	36	10	Adaptations for hydropower and thermo-electric power generation are effective in most regions up to 1.5°C to 2°C, with decreasing effectiveness at higher levels of warming	medium	1	train
2468	AR6_WGII	36	11	Climate responsive energy markets, updated design standards on energy assets according to current and projected climate change, smart-grid technologies, robust transmission systems and improved capacity to respond to supply deficits have high feasibility in the medium- to long-term, with mitigation co-benefits	very high	3	train
2469	AR6_WGII	36	14	Heat Health Action Plans that include early warning and response systems are effective adaptation options for extreme heat	high	2	train
2470	AR6_WGII	36	15	Effective adaptation options for water-borne and food-borne diseases include improving access to potable water, reducing exposure of water and sanitation systems to flooding and extreme weather events, and improved early warning systems	very high	3	train
2471	AR6_WGII	36	16	For vector-borne diseases, effective adaptation options include surveillance, early warning systems, and vaccine development	very high	3	train
2472	AR6_WGII	36	17	Effective adaptation options for reducing mental health risks under climate change include improving surveillance, access to mental health care, and monitoring of psychosocial impacts from extreme weather events	high	2	train
2473	AR6_WGII	36	18	Health and well-being would benefit from integrated adaptation approaches that mainstream health into food, livelihoods, social protection, infrastructure, water and sanitation policies requiring collaboration and coordination at all scales of governance	very high	3	test
2474	AR6_WGII	36	20	This improves the degree of choice under which migration decisions are made, ensuring safe and orderly movements of people within and between countries	high	2	train
2475	AR6_WGII	36	21	Some development reduces underlying vulnerabilities associated with conflict, and adaptation contributes by reducing the impacts of climate change on climate sensitive drivers of conflict	high	2	train
2476	AR6_WGII	36	22	Risks to peace are reduced, for example, by supporting people in climate-sensitive economic activities (medium confidence) and advancing women’s empowerment	high	2	train
2477	AR6_WGII	37	1	For example, climate services that are inclusive of different users and providers can improve agricultural practices, inform better water use and efficiency, and enable resilient infrastructure planning	high	2	train
2478	AR6_WGII	37	3	Hard limits to adaptation have been reached in some ecosystems	high	2	train
2479	AR6_WGII	37	4	With increasing global warming, losses and damages will increase and additional human and natural systems will reach adaptation limits	high	2	train
2480	AR6_WGII	37	6	For example, individuals and households in low-lying coastal areas in Australasia and Small Islands and smallholder farmers in Central and South America, Africa, Europe and Asia have reached soft limits	medium	1	train
2481	AR6_WGII	37	7	Inequity and poverty also constrain adaptation, leading to soft limits and resulting in disproportionate exposure and impacts for most vulnerable groups	high	2	train
2482	AR6_WGII	37	8	Lack of climate literacy46 at all levels and limited availability of information and data pose further constraints to adaptation planning and implementation	medium	1	train
2483	AR6_WGII	37	10	Although global tracked climate finance has shown an upward trend since AR5, current global financial flows for adaptation, including from public and private finance sources, are insufficient for and constrain implementation of adaptation options especially in developing countries	high	2	train
2484	AR6_WGII	37	11	The overwhelming majority of global tracked climate finance was targeted to mitigation while a small proportion was targeted to adaptation	very high	3	train
2485	AR6_WGII	37	12	Adaptation finance has come predominantly from public sources	very high	3	train
2486	AR6_WGII	37	13	Adverse climate impacts can reduce the availability of financial resources by incurring losses and damages and through impeding national economic growth, thereby further increasing financial constraints for adaptation, particularly for developing and least developed countries	medium	1	train
2487	AR6_WGII	37	15	Ecosystems already reaching or surpassing hard adaptation limits include some warm- water coral reefs, some coastal wetlands, some rainforests, and some polar and mountain ecosystems	high	2	train
2488	AR6_WGII	37	16	Above 1.5°C global warming level, some Ecosystem-based Adaptation measures will lose their effectiveness in providing benefits to people as these ecosystems will reach hard adaptation limits	high	2	train
2489	AR6_WGII	37	18	Above 1.5°C global warming level, limited freshwater resources pose potential hard limits for Small Islands and for regions dependent on glacier and snow-melt	medium	1	train
2490	AR6_WGII	37	19	By 2°C global warming level, soft limits are projected for multiple staple crops in many growing areas, particularly in tropical regions	high	2	train
2491	AR6_WGII	37	20	By 3°C global warming level, soft limits are projected for some water management measures for many regions, with hard limits projected for parts of Europe	medium	1	train
2492	AR6_WGII	37	21	Transitioning from incremental to transformational adaptation can help overcome soft adaptation limits	high	2	train
2493	AR6_WGII	38	4	The implementation of these maladaptive actions can result in infrastructure and institutions that are inflexible and/or expensive to change	high	2	train
2494	AR6_WGII	38	5	For example, seawalls effectively reduce impacts to people and assets in the short-term but can also result in lock-ins and increase exposure to climate risks in the long-term unless they are integrated into a long-term adaptive plan	high	2	train
2495	AR6_WGII	38	6	Adaptation integrated with development reduces lock-ins and creates opportunities (e.g., infrastructure upgrading)	medium	1	train
2496	AR6_WGII	38	15	Maladaptation is also minimized by planning that accounts for the time it takes to adapt (high confidence), the uncertainty about the rate and magnitude of climate risk (medium confidence) and a wide range of potentially adverse consequences of adaptation actions	high	2	train
2497	AR6_WGII	38	19	Implementing actions can require large upfront investments of human, financial and technological resources (high confidence), whilst some benefits could only become visible in the next decade or beyond	medium	1	train
2498	AR6_WGII	38	20	Accelerating commitment and follow-through is promoted by rising public awareness, building business cases for adaptation, accountability and transparency mechanisms, monitoring and evaluation of adaptation progress, social movements, and climate-related litigation in some regions	medium	1	train
2499	AR6_WGII	39	1	Sustained adaptation actions are strengthened by mainstreaming adaptation into institutional budget and policy planning cycles, statutory planning, monitoring and evaluation frameworks and into recovery efforts from disaster events	high	2	train
2500	AR6_WGII	39	2	Instruments that incorporate adaptation such as policy and legal frameworks, behavioural incentives, and economic instruments that address market failures, such as climate risk disclosure, inclusive and deliberative processes strengthen adaptation actions by public and private actors	medium	1	train
2501	AR6_WGII	39	4	A wide range of top-down, bottom-up and co-produced processes and sources can deepen climate knowledge and sharing, including capacity building at all scales, educational and information programmes, using the arts, participatory modelling and climate services, Indigenous knowledge and local knowledge and citizen science	high	2	train
2502	AR6_WGII	39	5	These measures can facilitate awareness, heighten risk perception and influence behaviours	high	2	train
2503	AR6_WGII	39	7	Building capacity and removing some barriers to accessing finance is fundamental to accelerate adaptation, especially for vulnerable groups, regions and sectors	high	2	train
2504	AR6_WGII	39	9	Public finance is an important enabler of adaptation	high	2	train
2505	AR6_WGII	39	10	Public mechanisms and finance can leverage private sector finance for adaptation by addressing real and perceived regulatory, cost and market barriers, for example via public-private partnerships	high	2	train
2506	AR6_WGII	39	11	Financial and technological resources enable effective and ongoing implementation of adaptation, especially when supported by institutions with a strong understanding of adaptation needs and capacity	high	2	train
